Diese Datei gibt Ihnen einen kurzen Ueberblick, welche Variablen im
portable file des ALLBUS 2014 enthalten sind:

Variable       Position Beschriftung
V860           846      SIOPS I08, EINORDNUNG NACH TERWEY, KAT.
V861           847      ISEI GANZEBOOM I08, EINORDNUNG N. TERWEY
V862           848      ISEI GANZEBOOM I08, EINORD.N.TERWEY,KAT.
V863           849      HAUSHALT-FEINKLASSIFIKATION
V864           850      HAUSHALT-GROBKLASSIFIKATION
V865           851      FAMILIEN-FEINTYPOLOGIE
V866           852      GROESSENKLASSE DER POLIT. GEMEINDE
V867           853      BIK-REGIONEN
V868           854      BUNDESLAND, IN DEM BEFRAGTE<R> WOHNT
V869           855      REGIERUNGSBEZIRK
V870           856      PERSONENBEZOGENES OST-WEST-GEWICHT
V871           857      TRANSFORMATIONSGEWICHT HAUSHALT
V872           858      HAUSHALTSBEZOGENES OST-WEST-GEWICHT
V873           859      OST-WEST TRANSFORMATIONSGEWICHT HAUSHALT
V874           860      DIGITAL OBJECT IDENTIFIER
V875           861      RELEASE

